id,short_desc,severity
134643,[Model Sync] Previously selected model should be remembered,normal
209152,[1.5][compiler] different captures for the the same wildcard,normal
225602,[Sync view] 'Synchronize' view has a misleading message,minor
92546,Ant content type describer activating ant core,normal
215805,"[api tooling] incorrect ""type has been removed"" errors",normal
259308,can not upgrade from CDT 5.0.2 to CDT 6.0. Broken dependencies,normal
130052,[Dialogs] Make tray dialog sash fixed size,minor
108789,naming conventions: suggest plural of element type for Collection subtypes,enhancement
60141,AddUnimplemented constructors adds a new line for constructor with no parameters [code manipulation],normal
171425,[launching] New fields for launch delegates,trivial
48276,NullPointerException in CDT parser,normal
290652,unable to load clase org.maven.ide.eclipse.jdt.internal.JDTComiplationParticipant,major
108735,[Help][Context] Help view should parse mnemonics from menu labels,normal
20115,"""Source | Format"" scrolls to the top of the file",major
72818,[Search] Selection Search for Union does not work,normal
170973,[Program] Error when opening word and excel documents,normal
261296,FIFO file in project directory causes build / search to hang,normal
70697,[JUnit] JUnit launcher does not run classes that do not have test* methods [JUnit],normal
31528,InternalError creating patch,normal
36611,Tracker resize events are not sent correctly,minor
70990,Uninstall old plugin,enhancement
11612,Agressive clearing of instruction pointer,normal
328524,[nls tooling] Properties File editor could escape \ on paste,normal
3443,Unused argument/variable warnings shown twice (1GL4OW7),normal
49307,blankline in .ssh/known_hosts caused accessing CVS to hangs,normal
38478,getters/setters: no warning of duplicate methods,normal
235021,"[formatter][preferences] ""Use tabs only for leading indentations"" confusing",minor
66774,Cold-folding ellipses appear at the end of every import statement,normal
34825,Ant Task tree does not refresh after edit and save.,minor
37746,Add compare with->menu in package explorer,enhancement
194627,[process] Stopping a debugg session causes all user processes to terminate,major
267138,CCombo popup doesn't scroll with CCombo,major
220233,Visual 2005 error parser seems to not work.,normal
56705,Details pane problem (build M8),normal
47583,CVS commit should run in background,enhancement
18795,Extension point for Java decompiler,enhancement
50343,"Java doc does not appear, no source attached",major
184605,InvalidThreadAccess in Manifest editor when reacting to model changes,normal
31173,[Linked Resources] Specifying file to link could prime the filename to be created,enhancement
8746,Threads showing as suspended when not -- multithreaded app,normal
27279,[Keybindings] accelerators don't work on all platforms,critical
23290,Default JFaceResource fonts need to be updated,normal
39849,Unreachable code not detected,normal
224279,[concurrency] Query objects in debug view model should call RequestMonitor.done() even when canceled.,minor
