id,short_desc,severity,failure_impact_type,action_urgency_type
134643,[Model Sync] Previously selected model should be remembered,normal,user-facing bug,needs attention soon
209152,[1.5][compiler] different captures for the the same wildcard,normal,user-facing bug,needs attention soon
225602,[Sync view] 'Synchronize' view has a misleading message,minor,user-facing bug,needs attention soon
92546,Ant content type describer activating ant core,normal,user-facing bug,needs attention soon
215805,"[api tooling] incorrect ""type has been removed"" errors",normal,user-facing bug,needs attention soon
259308,can not upgrade from CDT 5.0.2 to CDT 6.0. Broken dependencies,normal,user-facing bug,needs attention soon
130052,[Dialogs] Make tray dialog sash fixed size,minor,user-facing bug,needs attention soon
108789,naming conventions: suggest plural of element type for Collection subtypes,enhancement,non-critical feature request,can wait (low urgency)
60141,AddUnimplemented constructors adds a new line for constructor with no parameters [code manipulation],normal,user-facing bug,needs attention soon
171425,[launching] New fields for launch delegates,trivial,non-critical feature request,can wait (low urgency)
48276,NullPointerException in CDT parser,normal,system failure / crash,immediate action required
290652,unable to load clase org.maven.ide.eclipse.jdt.internal.JDTComiplationParticipant,major,user-facing bug,needs attention soon
108735,[Help][Context] Help view should parse mnemonics from menu labels,normal,user-facing bug,needs attention soon
20115,"""Source | Format"" scrolls to the top of the file",major,user-facing bug,needs attention soon
72818,[Search] Selection Search for Union does not work,normal,user-facing bug,needs attention soon
170973,[Program] Error when opening word and excel documents,normal,user-facing bug,needs attention soon
261296,FIFO file in project directory causes build / search to hang,normal,system failure / crash,immediate action required
70697,[JUnit] JUnit launcher does not run classes that do not have test* methods [JUnit],normal,user-facing bug,needs attention soon
31528,InternalError creating patch,normal,user-facing bug,needs attention soon
36611,Tracker resize events are not sent correctly,minor,user-facing bug,needs attention soon
70990,Uninstall old plugin,enhancement,non-critical feature request,can wait (low urgency)
11612,Agressive clearing of instruction pointer,normal,user-facing bug,needs attention soon
328524,[nls tooling] Properties File editor could escape \ on paste,normal,user-facing bug,needs attention soon
3443,Unused argument/variable warnings shown twice (1GL4OW7),normal,user-facing bug,needs attention soon
49307,blankline in .ssh/known_hosts caused accessing CVS to hangs,normal,system failure / crash,immediate action required
